Date,Win,Team Score,Opponent Score
2025-03-27,L,2,12
2025-03-28,W,8,2
2025-03-29,L,5,9
2025-03-30,W,3,1
2025-03-31,W,5,2
2025-04-01,W,5,3
2025-04-02,W,4,2
2025-04-04,L,0,5
2025-04-05,L,2,3
2025-04-06,L,1,2
2025-04-07,W,6,2
2025-04-08,W,6,1
2025-04-09,W,2,1
2025-04-10,L,3,4
2025-04-12,L,4,5
2025-04-13,W,7,6
2025-04-14,L,4,8
2025-04-15,W,6,3
2025-04-16,W,3,1
2025-04-18,W,3,1
2025-04-19,L,4,8
2025-04-20,L,3,8
2025-04-21,L,0,7
2025-04-22,L,1,5
2025-04-23,L,1,3
2025-04-25,W,4,2
2025-04-27,L,2,11
2025-04-27,L,1,5
2025-04-29,L,2,10
2025-04-30,W,7,6
2025-05-01,W,4,2
2025-05-02,W,5,3
2025-05-03,L,3,5
2025-05-04,L,4,5
2025-05-06,L,3,8
2025-05-07,L,4,5
2025-05-08,W,8,5
2025-05-09,W,6,3
2025-05-10,W,6,3
2025-05-11,W,9,1
2025-05-13,L,9,11
2025-05-14,W,3,1
2025-05-15,L,3,8
2025-05-16,L,4,5
2025-05-17,W,2,1
2025-05-18,L,2,3
2025-05-20,W,3,0
2025-05-21,W,14,0
2025-05-22,W,7,6
2025-05-23,L,1,3
2025-05-24,L,1,3
2025-05-25,L,0,13
2025-05-26,W,2,1
2025-05-27,L,0,2
2025-05-28,W,2,0
2025-05-29,W,12,0
2025-05-30,W,11,7
2025-05-31,W,8,7
2025-06-01,W,8,4
2025-06-03,L,3,8
2025-06-04,W,2,1
2025-06-05,W,9,1
2025-06-06,W,6,4
2025-06-07,W,5,4
2025-06-08,L,3,6
2025-06-09,W,5,4
2025-06-10,W,10,9
2025-06-11,W,5,2
2025-06-13,L,0,8
2025-06-14,L,2,3
2025-06-15,L,4,11
2025-06-17,W,5,4
2025-06-18,W,8,1
2025-06-19,L,5,9
2025-06-20,L,1,7
2025-06-21,W,7,1
2025-06-22,L,2,4
2025-06-24,W,10,6
2025-06-25,L,4,5
2025-06-26,W,6,0
2025-06-27,W,9,0
2025-06-28,L,1,15
2025-06-29,W,5,3
2025-06-30,W,5,4
2025-07-01,W,12,5
2025-07-02,W,11,9
2025-07-03,W,8,5
2025-07-04,W,4,3
2025-07-05,W,4,3
2025-07-06,W,3,2
2025-07-07,W,8,4
2025-07-09,L,1,2
2025-07-11,W,7,6
2025-07-12,L,3,4
2025-07-13,L,3,6
2025-07-18,W,4,0
2025-07-19,W,6,3
2025-07-20,W,8,6
2025-07-21,W,4,1
2025-07-22,L,4,5
