Team,League,Division,Latitude,Longitude,City,State,Stadium,LogoURL
Chicago White Sox,American,Central,41.83,-87.633889,Chicago,Illinois,Rate Field,https://www.mlbstatic.com/team-logos/team-cap-on-light/145.svg
Cleveland Guardians,American,Central,41.495833,-81.685278,Cleveland,Ohio,Progressive Field,https://www.mlbstatic.com/team-logos/team-cap-on-light/114.svg
Detroit Tigers,American,Central,42.339167,-83.048611,Detroit,Michigan,Comerica Park,https://www.mlbstatic.com/team-logos/team-cap-on-light/116.svg
Kansas City Royals,American,Central,39.051,-94.48,Kansas City,Missouri,Kauffman Stadium,https://www.mlbstatic.com/team-logos/team-cap-on-light/118.svg
Minnesota Twins,American,Central,44.981667,-93.278333,Minneapolis,Minnesota,Target Field,https://www.mlbstatic.com/team-logos/team-cap-on-light/142.svg
Baltimore Orioles,American,East,39.283889,-76.621667,Baltimore,Maryland,Oriole Park at Camden Yards,https://www.mlbstatic.com/team-logos/team-cap-on-light/110.svg
Boston Red Sox,American,East,42.34625,-71.09775,Boston,Massachusetts,Fenway Park,https://www.mlbstatic.com/team-logos/team-cap-on-light/111.svg
New York Yankees,American,East,40.829167,-73.926389,New York,New York,Yankee Stadium,https://www.mlbstatic.com/team-logos/team-cap-on-light/147.svg
Tampa Bay Rays,American,East,27.768333,-82.653333,Tampa,Florida,George M. Steinbrenner Field,https://www.mlbstatic.com/team-logos/team-cap-on-light/139.svg
Toronto Blue Jays,American,East,43.641389,-79.389167,Toronto,Ontario,Rogers Centre,https://www.mlbstatic.com/team-logos/team-cap-on-light/141.svg
Athletics,American,West,37.751667,-122.200556,West Sacramento,California,Sutter Health Park,https://www.mlbstatic.com/team-logos/team-cap-on-light/133.svg
Houston Astros,American,West,29.756944,-95.355556,Houston,Texas,Daikin Park,https://www.mlbstatic.com/team-logos/team-primary-on-light/117.svg
Los Angeles Angels,American,West,33.800278,-117.882778,Anaheim,California,Angel Stadium,https://www.mlbstatic.com/team-logos/team-cap-on-light/108.svg
Seattle Mariners,American,West,47.591,-122.333,Seattle,Washington,T-Mobile Park,https://www.mlbstatic.com/team-logos/team-primary-on-light/136.svg
Texas Rangers,American,West,32.747361,-97.084167,Arlington,Texas,Globe Life Field,https://www.mlbstatic.com/team-logos/team-cap-on-light/140.svg
Chicago Cubs,National,Central,41.948056,-87.655556,Chicago,Illinois,Wrigley Field,https://www.mlbstatic.com/team-logos/team-cap-on-light/112.svg
Cincinnati Reds,National,Central,39.0975,-84.506667,Cincinnati,Ohio,Great American Ball Park,https://www.mlbstatic.com/team-logos/team-cap-on-light/113.svg
Milwaukee Brewers,National,Central,43.028333,-87.971111,Milwaukee,Wisconsin,American Family Field,https://www.mlbstatic.com/team-logos/team-cap-on-light/158.svg
Pittsburgh Pirates,National,Central,40.446944,-80.005833,Pittsburgh,Pennsylvania,PNC Park,https://www.mlbstatic.com/team-logos/team-cap-on-light/134.svg
St. Louis Cardinals,National,Central,38.6225,-90.193056,St. Louis,Missouri,Busch Stadium,https://www.mlbstatic.com/team-logos/team-cap-on-light/138.svg
Atlanta Braves,National,East,33.89,-84.468,Cumberland,Georgia,Truist Park,https://www.mlbstatic.com/team-logos/team-cap-on-light/144.svg
Miami Marlins,National,East,25.778056,-80.219722,Miami,Florida,LoanDepot Park,https://www.mlbstatic.com/team-logos/team-cap-on-light/146.svg
New York Mets,National,East,40.756944,-73.845833,New York,New York,Citi Field,https://www.mlbstatic.com/team-logos/team-cap-on-light/121.svg
Philadelphia Phillies,National,East,39.905833,-75.166389,Philadelphia,Pennsylvania,Citizens Bank Park,https://www.mlbstatic.com/team-logos/team-cap-on-light/143.svg
Washington Nationals,National,East,38.872778,-77.0075,Washington,D.C.,Nationals Park,https://www.mlbstatic.com/team-logos/team-cap-on-light/120.svg
Arizona Diamondbacks,National,West,33.445278,-112.066944,Phoenix,Arizona,Chase Field,https://www.mlbstatic.com/team-logos/team-cap-on-light/109.svg
Colorado Rockies,National,West,39.756111,-104.994167,Denver,Colorado,Coors Field,https://www.mlbstatic.com/team-logos/team-cap-on-light/115.svg
Los Angeles Dodgers,National,West,34.073611,-118.24,Los Angeles,California,Dodger Stadium,https://www.mlbstatic.com/team-logos/team-cap-on-light/119.svg
San Diego Padres,National,West,32.7073,-117.1566,San Diego,California,Petco Park,https://www.mlbstatic.com/team-logos/team-cap-on-light/135.svg
San Francisco Giants,National,West,37.778611,-122.389167,San Francisco,California,Oracle Park,https://www.mlbstatic.com/team-logos/team-cap-on-light/137.svg
